acpid, acpid2,,,,,,,,,,,,,,,
bluez, bluez4, bluez5,,,,,,,,,,,,,,
dbus, d-bus,dbus-dev,dbus-1,,,,,,,,,,,,,
dhcp, dhcpd,,,,,,,,,,,,,,,
expat, libexpat,,,,,,,,,,,,,,,
freetype, freetype2, libfreetype6,,,,,,,,,,,,,,
glib, glib-2.0, libglib,,,,,,,,,,,,,,
gstreamer, gstreamer1.0, gstreamer1.0-plugins-base, gstreamer1.0-plugins-good, gstreamer1.0-plugins-bad,,,,,,,,,,,,
libcg, libcgroup,,,,,,,,,,,,,,,
curl, libcurl, libcurl5,,,,,,,,,,,,,,
flac, libflac,,,,,,,,,,,,,,,
gcc, libgcc, gcc-runtime, libgcc-external,,,,,,,,,,,,,
icu, international_components_for_unicode,,,,,,,,,,,,,,,
nss, network_security_services,,,,,,,,,,,,,,,
libsndfile, libsndfile1,,,,,,,,,,,,,,,
libsoup, libsoup-2.4,,,,,,,,,,,,,,,
sqlite, sqlite3, libsqlite3-0,,,,,,,,,,,,,,
UST, lttng-ust,,,,,,,,,,,,,,,
qt, qtbase, qtdeclarative, qtgraphicaleffects, qtlocation, qtmultimedia, qtquick1, qtquickcontrols, qtscript, qtsensors, qtsystems, qtwayland, qtwebkit, qtxmlpatterns, qt3d, qt5, qtimageformats
systemd, systemd-serialgetty, systemd-bootchart,,,,,,,,,,,,,,
wpa-supplicant, wpa_supplicant,,,,,,,,,,,,,,,
glibc, libc6,,,,,,,,,,,,,,,
gtk+, gtk+3,,,,,,,,,,,,,,,
hostapd, hostap-daemon,,,,,,,,,,,,,,,
faac, freeware_advanced_audio_coder,,,,,,,,,,,,,,,
faad2, freeware_advanced_audio_decoder_2,,,,,,,,,,,,,,,
pcre, libpcre, libpcre0,,,,,,,,,,,,,,
python, python3,,,,,,,,,,,,,,,
pycrypto, python-pycrypto,,,,,,,,,,,,,,,
qrcode, qrcode_activex,,,,,,,,,,,,,,,
quota, linux_diskquota,,,,,,,,,,,,,,,
libtiff, tiff, libtiff5,,,,,,,,,,,,,,
udev, udev-extraconf, libudev1,,,,,,,,,,,,,,
libxrandr, xrandr,,,,,,,,,,,,,,,
linux_kernel, linux-mel, linux-yocto, linux-renesas, linux-apl, kernel, euto_v9_sadk, kernel-5.15.74,,,,,,,,,
berkeley_db, db,,,,,,,,,,,,,,,
xkeyboard-config, x.org_x11,,,,,,,,,,,,,,,
alsa, alsa-lib,,,,,,,,,,,,,,,
crypto, cyptodev,,,,,,,,,,,,,,,
cairo, libcairo, libcairo2,,,,,,,,,,,,,,
dbus-glib, libdbus-glib-1-2,,,,,,,,,,,,,,,
expat, libexpat, libexpat1,,,,,,,,,,,,,,
fuse, libfuse, libfuse2,,,,,,,,,,,,,,
gdm, libgdbm, libgdbm3,,,,,,,,,,,,,,
libgio, libgio-2.0-0,,,,,,,,,,,,,,,
jasper, libjasper, libjasper1,,,,,,,,,,,,,,
nss, libnss-mdns,,,,,,,,,,,,,,,
pixman, libpixman, libpixman-1.0,,,,,,,,,,,,,,
poppler, libpoppler5,,,,,,,,,,,,,,,
readline, libreadline, libreadline5,,,,,,,,,,,,,,
libsamplerate, libsamplerate0,,,,,,,,,,,,,,,
xkbcommon, libxkbcommon0,,,,,,,,,,,,,,,
pax, pax-utils,,,,,,,,,,,,,,,
rt, rt-tests,,,,,,,,,,,,,,,
bridge, bridge-utils,,,,,,,,,,,,,,,
